date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2020-01-22,France,46.2276,2.2137,0,0,0,0,0.0,0.0,652.73512
2020-01-22,Gabon,-0.8037,11.6094,0,0,0,0,0.0,0.0,22.25728
2020-01-22,Gambia,13.4432,-15.3101,0,0,0,0,0.0,0.0,24.16663
2020-01-22,Georgia,42.3154,43.3569,0,0,0,0,0.0,0.0,39.89175
2020-01-22,Germany,51.0,9.0,0,0,0,0,0.0,0.0,837.83945
2020-01-22,Ghana,7.9465,-1.0232,0,0,0,0,0.0,0.0,310.72945
2020-01-22,Greece,39.0742,21.8243,0,0,0,0,0.0,0.0,104.23056
2020-01-22,Grenada,12.1165,-61.678999999999995,0,0,0,0,0.0,0.0,1.12518
2020-01-22,Guatemala,15.7835,-90.2308,0,0,0,0,0.0,0.0,179.15567
2020-01-22,Guinea,9.9456,-9.6966,0,0,0,0,0.0,0.0,131.32792
2020-01-22,Guinea-Bissau,11.8037,-15.1804,0,0,0,0,0.0,0.0,19.67997
2020-01-22,Guyana,5.0,-58.75,0,0,0,0,0.0,0.0,7.86559
2020-01-22,Haiti,18.9712,-72.2852,0,0,0,0,0.0,0.0,114.02533
2020-01-22,Holy See,41.9029,12.4534,0,0,0,0,0.0,0.0,0.00809
2020-01-22,Honduras,15.2,-86.2419,0,0,0,0,0.0,0.0,99.04608
2020-01-22,Hungary,47.1625,19.5033,0,0,0,0,0.0,0.0,96.6035
2020-01-22,Iceland,64.9631,-19.0208,0,0,0,0,0.0,0.0,3.4125
2020-01-22,India,21.0,78.0,0,0,0,0,0.0,0.0,13800.04385
2020-01-22,Indonesia,-0.7893,113.9213,0,0,0,0,0.0,0.0,2735.23621
2020-01-22,Iran,32.0,53.0,0,0,0,0,0.0,0.0,839.92953
2020-01-22,Iraq,33.0,44.0,0,0,0,0,0.0,0.0,402.22503
2020-01-22,Ireland,53.1424,-7.6921,0,0,0,0,0.0,0.0,49.37795
2020-01-22,Israel,31.0,35.0,0,0,0,0,0.0,0.0,86.55541
2020-01-22,Italy,43.0,12.0,0,0,0,0,0.0,0.0,604.61828
2020-01-22,Jamaica,18.1096,-77.2975,0,0,0,0,0.0,0.0,29.6116
2020-01-22,Japan,36.0,138.0,2,0,0,2,100.0,100.0,1264.76458
2020-01-22,Jordan,31.24,36.51,0,0,0,0,0.0,0.0,102.0314
2020-01-22,Kazakhstan,48.0196,66.9237,0,0,0,0,0.0,0.0,187.76707
2020-01-22,Kenya,-0.0236,37.9062,0,0,0,0,0.0,0.0,537.713
2020-01-22,Kosovo,42.602636,20.902977,0,0,0,0,0.0,0.0,18.45
2020-01-22,Kuwait,29.5,47.75,0,0,0,0,0.0,0.0,42.70563
2020-01-22,Kyrgyzstan,41.2044,74.7661,0,0,0,0,0.0,0.0,65.24191
2020-01-22,Laos,19.856270000000002,102.495496,0,0,0,0,0.0,0.0,72.75556
2020-01-22,Latvia,56.8796,24.6032,0,0,0,0,0.0,0.0,18.86202
