date,Country/Region,Latitude,Longitude,population,Confirmed,"Confirmed per 100,000",Deaths,"Deaths per 100,000",Recovered,"Recovered per 100,000",Active,"Active per 100,000",share_of_last_week,percentage
2020-01-26,Alaska,61.3707,-152.4044,7.31545,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-01-26,Arizona,33.7298,-111.4312,72.78717,1,0.013738684990775159,0,0.0,0,0.0,1,0.013738684990775159,100.0,100.0
2020-01-26,Arkansas,34.9697,-92.3731,30.17804,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-01-26,California,36.1162,-119.6816,395.12223,2,0.005061724823733659,0,0.0,0,0.0,2,0.005061724823733659,100.0,100.0
2020-01-26,Colorado,39.0598,-105.3111,57.58736,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-01-26,Connecticut,41.5978,-72.7554,35.65287,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-01-26,Delaware,39.3185,-75.5071,9.73764,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-01-26,District of Columbia,38.8974,-77.0268,7.05749,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-01-26,Florida,27.7663,-81.6868,214.77737,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-01-26,Georgia,33.0406,-83.6431,106.17423,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
2020-01-26,Hawaii,21.0943,-157.4983,14.15872,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
