Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Anhui,Mainland China,1/22/2020 17:00,1.0,,
Beijing,Mainland China,1/22/2020 17:00,14.0,,
Chongqing,Mainland China,1/22/2020 17:00,6.0,,
Fujian,Mainland China,1/22/2020 17:00,1.0,,
Gansu,Mainland China,1/22/2020 17:00,,,
Guangdong,Mainland China,1/22/2020 17:00,26.0,,
Guangxi,Mainland China,1/22/2020 17:00,2.0,,
Guizhou,Mainland China,1/22/2020 17:00,1.0,,
Hainan,Mainland China,1/22/2020 17:00,4.0,,
Hebei,Mainland China,1/22/2020 17:00,1.0,,
Heilongjiang,Mainland China,1/22/2020 17:00,,,
Henan,Mainland China,1/22/2020 17:00,5.0,,
Hong Kong,Hong Kong,1/22/2020 17:00,,,
Hubei,Mainland China,1/22/2020 17:00,444.0,17.0,28.0
Hunan,Mainland China,1/22/2020 17:00,4.0,,
Inner Mongolia,Mainland China,1/22/2020 17:00,,,
Jiangsu,Mainland China,1/22/2020 17:00,1.0,,
Jiangxi,Mainland China,1/22/2020 17:00,2.0,,
Jilin,Mainland China,1/22/2020 17:00,,,
Liaoning,Mainland China,1/22/2020 17:00,2.0,,
Macau,Macau,1/22/2020 17:00,1.0,,
Ningxia,Mainland China,1/22/2020 17:00,1.0,,
Qinghai,Mainland China,1/22/2020 17:00,,,
Shaanxi,Mainland China,1/22/2020 17:00,,,
Shandong,Mainland China,1/22/2020 17:00,2.0,,
Shanghai,Mainland China,1/22/2020 17:00,9.0,,
Shanxi,Mainland China,1/22/2020 17:00,1.0,,
Sichuan,Mainland China,1/22/2020 17:00,5.0,,
Taiwan,Taiwan,1/22/2020 17:00,1.0,,
Tianjin,Mainland China,1/22/2020 17:00,4.0,,
Tibet,Mainland China,1/22/2020 17:00,,,
Washington,US,1/22/2020 17:00,1.0,,
Xinjiang,Mainland China,1/22/2020 17:00,,,
Yunnan,Mainland China,1/22/2020 17:00,1.0,,
Zhejiang,Mainland China,1/22/2020 17:00,10.0,,
,Japan,1/22/2020 17:00,2.0,,
,Thailand,1/22/2020 17:00,2.0,,
,South Korea,1/22/2020 17:00,1.0,,
