date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-01-22,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-01-23,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-01-24,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-01-24,Illinois,1,0,0,39.567817696206866,-88.4548304695925,1
2020-01-25,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-01-25,Illinois,1,0,0,39.567817696206866,-88.4548304695925,1
2020-01-26,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-01-26,Illinois,1,0,0,39.567817696206866,-88.4548304695925,1
2020-01-26,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-01-26,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-01-27,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-01-27,Illinois,1,0,0,39.567817696206866,-88.4548304695925,1
2020-01-27,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-01-27,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-01-28,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-01-28,Illinois,1,0,0,39.567817696206866,-88.4548304695925,1
2020-01-28,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-01-28,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-01-29,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-01-29,Illinois,1,0,0,39.567817696206866,-88.4548304695925,1
2020-01-29,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-01-29,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-01-30,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-01-30,Illinois,1,0,0,39.567817696206866,-88.4548304695925,1
2020-01-30,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-01-30,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-01-31,Illinois,2,0,0,39.567817696206866,-88.4548304695925,2
2020-01-31,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-01-31,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-01-31,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-02-01,Illinois,2,0,0,39.567817696206866,-88.4548304695925,2
2020-02-01,Massachusetts,1,0,0,40.26071049785184,-68.22044118140738,1
2020-02-01,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-01,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-01,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-01,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-02-01,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-02-02,Illinois,2,0,0,39.567817696206866,-88.4548304695925,2
2020-02-02,Massachusetts,1,0,0,40.26071049785184,-68.22044118140738,1
2020-02-02,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-02,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-02,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-02,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-02-02,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-02-03,Illinois,2,0,0,39.567817696206866,-88.4548304695925,2
2020-02-03,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-02-03,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-02-03,Massachusetts,1,0,0,40.26071049785184,-68.22044118140738,1
2020-02-03,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-03,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-03,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-02-03,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-02-04,Illinois,2,0,0,39.567817696206866,-88.4548304695925,2
2020-02-04,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-02-04,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-02-04,Massachusetts,1,0,0,40.26071049785184,-68.22044118140738,1
2020-02-04,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-04,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-04,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-02-04,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-02-05,Illinois,2,0,0,39.567817696206866,-88.4548304695925,2
2020-02-05,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-02-05,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-02-05,Massachusetts,1,0,0,40.26071049785184,-68.22044118140738,1
2020-02-05,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-05,Wisconsin,1,0,0,44.2678016140528,-89.58752458101328,1
2020-02-05,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-05,Washington,1,0,0,46.30141913367346,-118.36135571088444,1
2020-02-05,Arizona,1,0,0,32.521582678524574,-107.88002059344271,1
2020-02-06,Illinois,2,0,0,39.567817696206866,-88.4548304695925,2
2020-02-06,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-02-06,California,2,0,0,37.539954007827866,-120.51340826434418,2
2020-02-06,Massachusetts,1,0,0,40.26071049785184,-68.22044118140738,1
2020-02-06,California,1,0,0,37.539954007827866,-120.51340826434418,1
2020-02-06,Wisconsin,1,0,0,44.2678016140528,-89.58752458101328,1
2020-02-06,California,1,0,0,37.539954007827866,-120.51340826434418,1
