date,key,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,share_of_last_week,percentage
2020-01-22,Washington,1,0,0,1,47.4009,-121.4905,100.0,100.0
2020-01-23,Washington,1,0,0,1,47.4009,-121.4905,100.0,100.0
2020-01-24,Washington,1,0,0,1,47.4009,-121.4905,100.0,100.0
2020-01-25,Washington,1,0,0,1,47.4009,-121.4905,100.0,100.0
2020-01-26,Washington,1,0,0,1,47.4009,-121.4905,100.0,100.0
2020-01-27,Washington,1,0,0,1,47.4009,-121.4905,100.0,100.0
2020-01-28,Washington,1,0,0,1,47.4009,-121.4905,100.0,100.0
2020-01-29,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-01-30,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-01-31,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-02-01,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-02-02,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-02-03,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-02-04,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-02-05,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-02-06,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-02-07,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-02-08,Washington,1,0,0,1,47.4009,-121.4905,0.0,0.0
2020-02-09,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-10,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-11,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-12,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-13,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-14,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-15,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-16,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-17,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-18,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-19,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-20,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-21,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-22,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-23,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-24,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-25,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-26,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-27,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-28,Washington,1,0,1,0,47.4009,-121.4905,0.0,0.0
2020-02-29,Washington,7,1,1,5,47.4009,-121.4905,85.71428571428571,85.7
2020-03-01,Washington,11,1,1,9,47.4009,-121.4905,90.9090909090909,90.9
2020-03-02,Washington,18,6,1,11,47.4009,-121.4905,94.44444444444444,94.4
2020-03-03,Washington,27,7,1,19,47.4009,-121.4905,96.29629629629629,96.3
2020-03-04,Washington,39,10,1,28,47.4009,-121.4905,97.43589743589743,97.4
2020-03-05,Washington,70,11,1,58,47.4009,-121.4905,98.57142857142857,98.6
2020-03-06,Washington,83,13,1,69,47.4009,-121.4905,98.79518072289157,98.8
2020-03-07,Washington,107,16,1,90,47.4009,-121.4905,93.45794392523365,93.5
2020-03-08,Washington,128,18,1,109,47.4009,-121.4905,91.40625,91.4
2020-03-09,Washington,128,19,1,108,47.4009,-121.4905,85.9375,85.9
2020-03-10,Washington,267,23,1,243,47.4009,-121.4905,89.88764044943821,89.9
2020-03-11,Washington,366,29,1,336,47.4009,-121.4905,89.34426229508196,89.3
2020-03-12,Washington,442,31,1,410,47.4009,-121.4905,84.16289592760181,84.2
2020-03-13,Washington,568,37,1,530,47.4009,-121.4905,85.38732394366197,85.4
2020-03-14,Washington,572,37,1,534,47.4009,-121.4905,81.2937062937063,81.3
2020-03-15,Washington,643,40,1,602,47.4009,-121.4905,80.09331259720062,80.1
2020-03-16,Washington,904,48,1,855,47.4009,-121.4905,85.84070796460178,85.8
2020-03-17,Washington,1076,55,1,1020,47.4009,-121.4905,75.18587360594796,75.2
2020-03-18,Washington,1014,55,0,959,47.4009,-121.4905,63.905325443786985,63.9
2020-03-19,Washington,1376,74,0,1302,47.4009,-121.4905,67.87790697674419,67.9
2020-03-20,Washington,1524,83,0,1441,47.4009,-121.4905,62.729658792650916,62.7
2020-03-21,Washington,1793,94,0,1699,47.4009,-121.4905,68.09815950920246,68.1
2020-01-24,Illinois,1,0,0,1,40.3495,-88.9861,100.0,100.0
