date,Country/Region,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-03-17,Ontario,185,1,5,51.2538,-85.3232,179
2020-03-17,Alberta,74,0,0,53.9333,-116.5765,74
2020-03-17,Quebec,74,0,0,52.9399,-73.5491,74
2020-03-17,Manitoba,8,0,0,53.7609,-98.8139,8
2020-03-17,New Brunswick,8,0,0,46.5653,-66.4619,8
2020-03-17,Nova Scotia,7,0,0,44.682,-63.7443,7
2020-03-17,Saskatchewan,7,0,0,52.9399,-106.4509,7
2020-03-18,Ontario,221,1,5,51.2538,-85.3232,215
2020-03-18,Alberta,97,0,0,53.9333,-116.5765,97
2020-03-18,Quebec,94,0,0,52.9399,-73.5491,94
2020-03-18,Manitoba,15,0,0,53.7609,-98.8139,15
2020-03-18,Nova Scotia,12,0,0,44.682,-63.7443,12
2020-03-18,New Brunswick,11,0,0,46.5653,-66.4619,11
2020-03-18,Saskatchewan,8,0,0,52.9399,-106.4509,8
2020-03-19,Ontario,257,1,5,51.2538,-85.3232,251
2020-03-19,Quebec,121,1,0,52.9399,-73.5491,120
2020-03-19,Alberta,119,0,0,53.9333,-116.5765,119
2020-03-19,Manitoba,17,0,0,53.7609,-98.8139,17
2020-03-19,Saskatchewan,16,0,0,52.9399,-106.4509,16
2020-03-19,Nova Scotia,14,0,0,44.682,-63.7443,14
2020-03-19,New Brunswick,11,0,0,46.5653,-66.4619,11
2020-03-20,Ontario,308,2,5,51.2538,-85.3232,301
2020-03-20,Alberta,146,1,0,53.9333,-116.5765,145
2020-03-20,Quebec,139,1,0,52.9399,-73.5491,138
2020-03-20,Saskatchewan,20,0,0,52.9399,-106.4509,20
2020-03-20,Manitoba,17,0,0,53.7609,-98.8139,17
2020-03-20,Nova Scotia,15,0,0,44.682,-63.7443,15
2020-03-20,New Brunswick,11,0,0,46.5653,-66.4619,11
2020-03-21,Ontario,377,3,6,51.2538,-85.3232,368
2020-03-21,Alberta,195,1,0,53.9333,-116.5765,194
2020-03-21,Quebec,181,5,0,52.9399,-73.5491,176
2020-03-21,Saskatchewan,26,0,0,52.9399,-106.4509,26
2020-03-21,Nova Scotia,21,0,0,44.681999999999995,-63.7443,21
2020-03-21,Manitoba,18,0,0,53.7609,-98.8139,18
2020-03-21,New Brunswick,17,0,0,46.5653,-66.4619,17
2020-03-22,Ontario,425,5,0,51.2538,-85.3232,420
2020-03-22,Alberta,259,1,0,53.9333,-116.5765,258
2020-03-22,Quebec,219,4,0,52.9399,-73.5491,215
2020-03-22,Saskatchewan,52,0,0,52.9399,-106.4509,52
2020-03-22,Nova Scotia,28,0,0,44.681999999999995,-63.7443,28
2020-03-22,Manitoba,20,0,0,53.7609,-98.8139,20
2020-03-22,New Brunswick,17,0,0,46.5653,-66.4619,17
2020-03-23,Alberta,301,1,0,53.9333,-116.5765,300
2020-03-23,Manitoba,20,0,0,53.7609,-98.8139,20
